brand,description,category,price,image_url,product_url
Sangria,Printed Cotton Peplum Top,kurti,Rs. 699Rs. 2099(Rs. 1400 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/20/MeYBJgPs_259e603ccf824756ba5a25c67c07ede1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/sangria/sangria-womens-floral-printed-cotton-peplum-top/32859433/buy
Anouk,V-Neck Short Kurti,kurti,Rs. 692Rs. 2099(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28886594/2024/4/12/c5d9d5d7-36af-478a-84fb-323c39e28a791712915149334AnoukWomenFlaredSleevesKurta6.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-v-neck-regular-sleeves-short-kurti/28886594/buy
Rain & Rainbow,Women's Printed Cotton Kurti,kurti,Rs. 1042Rs. 1895(45% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29626902/2024/5/17/65cd1c16-22a6-4057-a095-a5c0710988081715961631001Kurtis1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-womens-ethnic-motifs-printed-v-neck-pure-cotton-kurti/29626902/buy
Anouk,Embroidered Straight Kurti,kurti,Rs. 692Rs. 2099(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/3/3cUMIOrJ_70fb20ef09254528941fced72af53084.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-floral-embroidered-notch-neck-straight-kurti/30478585/buy
Brownverse,Women Embroidered Kurti,kurti,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/19/3ac6E4Xx_13346dee5b204009964e578b2a768ce9.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/brownverse/brownverse-women-floral-embroidered-thread-work-pure-cotton-kurti/31670206/buy
Rain & Rainbow,Floral Printed Cotton Kurti,kurti,Rs. 897Rs. 1995(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20934280/2022/11/27/18c15914-b788-4fde-8afe-5fb8ea67e4321669496795023RainRainbowCream-ColouredFloralPrintMandarinCollarTop1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-floral-printed-mandarin-collar-pure-cotton-a-line-kurti/20934280/buy
Anouk Rustic,Printed Pure Cotton Kurti,kurti,Rs. 471Rs. 1430(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35351965/2025/7/8/35b2f667-9bbd-4d99-af48-510c51f7eac31751964991180-Anouk-Rustic-Paisley-Printed-Pure-Cotton-Kurti-1517519649897-1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-paisley-printed-pure-cotton-kurti/35351965/buy
Sangria,Floral Printed Cotton Top,kurti,Rs. 699Rs. 2199(Rs. 1500 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/14/3iTFnf85_6a5350b47fc0412bacb7d3031fb52e32.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/sangria/sangria-women-floral-printed-v-neck-bell-sleeves-cotton-peplum-top/32779031/buy
Rain & Rainbow,Ethnic Cotton A-Line Kurti,kurti,Rs. 997Rs. 1995(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28927748/2024/4/13/fdb42a99-c3ea-4061-983a-32a1d32fe8d31713017096289Kurtis1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-ethnic-motifs-printed-pure-cotton-a-line-kurti/28927748/buy
Anouk,Ethnic Motifs Printed Kurta,kurti,Rs. 713Rs. 2099(66% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31983416/2024/12/16/f18baa5f-bae7-439a-bb16-c3ec61e66fb11734347355519AnoukWomenEthnicMotifsKurta7.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-ethnic-motifs-printed-cotton-straight-kurta/31983416/buy
Rimeline,Women Floral Pure Cotton Kurti,kurti,Rs. 459Rs. 1999(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/1/CaX8ebLZ_c170e25627d04f42826afdf9fbb09c9e.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rimeline/rimeline-women-floral-printed-pure-cotton-kurti/32168414/buy
Rain & Rainbow,Printed Pure Cotton Kurti,kurti,Rs. 997Rs. 1995(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28687950/2024/4/4/a512b32a-60cf-4256-a249-3324f36c99de1712245210601Kurtis1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-ethnic-motifs-printed-v-neck-pure-cotton-straight-kurti/28687950/buy
Anouk Rustic,Women Printed Top,kurti,Rs. 499Rs. 1699(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31100121/2024/9/23/fa115acb-b76a-4920-8cd6-f9b52bcd19d81727081005778-Anouk-Rustic-Print-Mandarin-Collar-Top-8791727081005302-4.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-women-ethnic-motifs-printed-v-neck-top/31100121/buy
Anouk,Print Tie-Up Neck Top,kurti,Rs. 857Rs. 2599(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28904170/2024/4/13/5c89df14-cd06-4d5e-956e-8ef5289b92201712984953008AnoukPrintTie-UpNeckTop1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-print-tie-up-neck-top/28904170/buy
Rain & Rainbow,Printed Cotton A-Line Kurti,kurti,Rs. 997Rs. 1995(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22241020/2023/3/6/1935aa1e-84dc-45c6-91a9-f6b7eae85e511678100980617Kurtis1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-notch-neck-floral-printed-sequinned-pure-cotton-a-line-kurti/22241020/buy
Anouk Rustic,Ethnic Pure Cotton Kurti,kurti,Rs. 465Rs. 1500(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/4/elWIV6Yc_eab42d314bf7429693387875d7ac0cc4.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk+rustic/anouk-rustic-women-ethnic-motifs-printed-square-neck-pure-cotton-kurti/35351986/buy
Sangria,Printed Sleeveless Peplum Top,kurti,Rs. 575Rs. 1799(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/25/MWRrxVB6_afdb858579f646ba9896c4fc1f5eeb2e.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/sangria/sangria-printed-v-neck-sleeveless-peplum-top/32942386/buy
Rain & Rainbow,Printed Pure Cotton Top,kurti,Rs. 997Rs. 1995(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31997145/2024/12/17/4027de76-26f6-407c-a739-9dd24ebd34871734439448257RainRainbowPrintCottonTop1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-women-ethnic-motifs-printed-pure-cotton-top/31997145/buy
Varanga,Cotton Notch Neck A-Line Kurti,kurti,Rs. 699Rs. 1999(Rs. 1300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32477219/2025/1/27/2f984e30-35e1-4a98-a8c8-1c1fb78849b51737984319660-Varanga-Women-Printed-Indigo-Kurta-4411737984318926-1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/varanga/varanga-ethnic-motifs-printed-notch-neck-cotton-a-line-kurti/32477219/buy
Anouk,Embroidered A-Line Kurti,kurti,Rs. 725Rs. 2199(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/3/tmg8fR23_8ffe743b34f042279e003afb579deece.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-floral-embroidered-mandarin-collar-a-line-kurti/30478582/buy
Rain & Rainbow,Floral Printed Pure Cotton Kurti,kurti,Rs. 1237Rs. 2475(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20988242/2022/11/30/a09530ab-4f7b-4c2b-84be-69fe8edad1351669798031926Kurtis1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rain+%26+rainbow/rain--rainbow-blue--rust-floral-printed-pure-cotton-empire-kurti/20988242/buy
Anouk,Printed Pure Cotton Short Kurti,kurti,Rs. 560Rs. 1699(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27830414/2024/2/24/09855fc3-915b-420c-b4c9-a8a9c59c835f1708759170082AnoukWomenFloralEmbroideredCold-ShoulderSleevesThreadWorkKur1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/anouk/anouk-ethnic-motifs-printed-pure-cotton-straight-short-kurti/27830414/buy
Rimeline,Printed Pure Cotton Kurti,kurti,Rs. 459Rs. 1999(77% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32168410/2025/1/11/93260f36-a91d-4d68-95fe-6c3135abf2c51736604876802-Rimeline-Women-Floral-Printed-Pure-Cotton-Kurti-812173660487-1.jpg",https://www.myntra.comhttps://www.myntra.com/kurtis/rimeline/rimeline-women-floral-printed-pure-cotton-kurti/32168410/buy
