brand,description,category,price,image_url,product_url
CULT,All Day Performance Tights,leggings,Rs. 1007Rs. 1799(44% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20528910/2024/3/22/0b97a336-9d44-47da-bec4-082d2ae1705f1711086717693-cultsportone-Women-All-Day-Performance-Tights-44117110867173-1.jpg",https://www.myntra.comhttps://www.myntra.com/tights/cult/cult-solid-all-day-performance-tights/20528910/buy
CULT,Women Printed ComFlex Tights,leggings,Rs. 1474Rs. 2499(41% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33874500/2025/5/22/5d225e34-3a4b-43bd-8194-60efb503d4ad1747910372117-CULT-Women-Black-Energy-Flow-Printed-COMFlex-Tights-53817479-1.jpg",https://www.myntra.comhttps://www.myntra.com/tights/cult/cult-women-black-energy-flow-printed-comflex-tights/33874500/buy
H&M,Girls 2-Pack Leggings,leggings,Rs. 599Rs. 999(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/2/0RpclFy2_fa77536a31bd4f49a5d2b02ec99aa499.jpg",https://www.myntra.comhttps://www.myntra.com/leggings/h%26m/hm-girls-2-pack-leggings/31816472/buy
Marks & Spencer,Girls Printed Flare Leggings,leggings,Rs. 829Rs. 999(17% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/wrwkhpV0_aa0df7eae8424538b050436a8a6aa81c.jpg",https://www.myntra.comhttps://www.myntra.com/leggings/marks+%26+spencer/marks--spencer-girls-printed-flare-leggings/33728565/buy
XFyt,High Rise Flared Track Pants,leggings,Rs. 1799Rs. 2999(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/3/nKnVdPb1_c8a37c170a1b44efab7e2d3e7d06cb76.jpg",https://www.myntra.comhttps://www.myntra.com/tights/xfyt/xfyt-high-rise-flared-track-pants/33024167/buy
H&M,Girls Flared Leggings,leggings,Rs. 799,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30145092/2024/7/6/5b365f96-a0df-438f-9a69-7cd2ea3cc33a1720259474826Flaredleggings1.jpg",https://www.myntra.comhttps://www.myntra.com/leggings/h%26m/hm-girls-flared-leggings/30145092/buy
Blissclub,High Rise Wrinkle Free Tights,leggings,Rs. 999Rs. 1999(Rs. 1000 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25856154/2025/7/16/a56e83c2-5563-444c-a620-771d5f33252a1752663228510-Blissclub-Women-The-Ultimate-Flare-Pants---Lite--Regular-916-1.jpg",https://www.myntra.comhttps://www.myntra.com/tights/blissclub/blissclub-women-the-ultimate-flare-pants---lite--regular/25856154/buy
CULT,Women Seamless Tights,leggings,Rs. 1351Rs. 2599(48% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15210696/2024/7/25/c00d6f33-4d8f-4f56-a749-b11a0c430df01721907116107-Cultsport-Women-Seamless-Contour-Leggings-1061721907115539-2.jpg",https://www.myntra.comhttps://www.myntra.com/tights/cult/cult-women-seamless-contour-leggings/15210696/buy
ariel,3Pc Girls Ankle-Length Legging,leggings,Rs. 799Rs. 1999(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35154752/2025/7/1/f443f663-02cf-49bd-8385-eaecc8fac23d1751380275043-ariel-Girls-Pack-Of-3-Printed-Cotton-Ankle-Length-Leggings-5-1.jpg",https://www.myntra.comhttps://www.myntra.com/leggings/ariel/ariel-girls-pack-of-3-printed-cotton-ankle-length-leggings/35154752/buy
ariel,Girls Pack Of 3 Leggings,leggings,Rs. 799Rs. 1999(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35154770/2025/7/1/78975990-e04c-4be4-8519-6c443897332b1751380289430-ariel-Girls-Pack-Of-3-Printed-Cotton-Ankle-Length-Leggings-4-1.jpg",https://www.myntra.comhttps://www.myntra.com/leggings/ariel/ariel-girls-pack-of-3-printed-cotton-ankle-length-leggings/35154770/buy
