brand,description,category,price,image_url,product_url
Sangria,Lehenga With Choli & Dupatta,lehnga,Rs. 1149Rs. 3449(Rs. 2300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/5/pYKXg5T6_eff78ac192304de8acf22de50af20a1e.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/sangria/-sangria-printed-lehenga-with-choli--dupatta-/32655522/buy
BAESD,Ready to Wear Lehenga & Choli,lehnga,Rs. 579Rs. 1999(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29969818/2024/6/14/5a53281b-cd85-4c1f-95ef-10a6189952931718383106288GirlsReadyToWearWhiteEmbroideredEthnicWeddingTopandLehengaSe1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/baesd/baesd-girls-embroidered-sequinned-pure-georgette-ready-to-wear-lehenga--choli/29969818/buy
Divena,Ready to Wear Lehenga Choli,lehnga,Rs. 5999Rs. 14999(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30144928/2024/8/13/59cd1de5-83c9-4ee2-8cf4-81484e043e241723572051753-Divena-Bandhani-Printed-Cotton-Ready-to-Wear-Lehenga--Blouse-1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/divena/divena-bandhani-printed-cotton-ready-to-wear-lehenga--blouse-with-dupatta/30144928/buy
BAESD,Ready to Wear Lehenga,lehnga,Rs. 599Rs. 1999(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30011175/2024/6/21/f266d744-1594-4e07-953b-3349785d9ba31718968866338BAESDGirlsPrintedFoilPrintReadytoWearLehenga1.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/baesd/baesd-girls-printed-foil-print-ready-to-wear-lehenga-/30011175/buy
JOVK DESIGN,Ready to Wear Lehenga Blouse With Dupatta,lehnga,Rs. 989Rs. 2999(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/19/A0x35bHE_bf9ddf8a0c4c48968157b81256ea2635.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-printed-kalamkari-ready-to-wear-lehenga--blouse-with-dupatta/35823379/buy
VASTRAMAY,Girls Lehenga Choli & Dupatta,lehnga,Rs. 1295Rs. 1599(19% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/4/E09KhST6_d91e8dcb99d2443fb605aee51438e530.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/vastramay/vastramay-girls-printed-foil-print-ready-to-wear-lehenga--blouse-with-dupatta/35347397/buy
DHRUV CREATION,Girls Lehenga Choli Set,lehnga,Rs. 899Rs. 1999(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/16/pk8fu0Cl_ff05186ae9dc41c2a5d0c0b2dd80c7d5.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/dhruv+creation/dhruv-creation-girls-ethnic-motifs-printed-lehenga-with-blouse/33621544/buy
UFB,Ready to Wear Lehenga,lehnga,Rs. 799Rs. 2499(Rs. 1700 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/10/wfbSUJnu_8af0e378bd0d4591a530bbbbcffff83c.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/ufb/ufb-girls-ready-to-wear-lehenga-/33561802/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/rVr5jKIm_a37e35ee57e94adfadfcfcfbe864fc4a.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-ethnic-motifs-printed-ready-to-wear-cotton-lehenga--blouse-with-dupatta/30444492/buy
Sangria,Girls Printed Lehenga & Choli,lehnga,Rs. 1149Rs. 3449(Rs. 2300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/1/yUyujdLw_c19da93e1ede4046881b98c92143fbcc.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/sangria/sangria-girls-floral-printed-round-neck-lehenga--choli/33428566/buy
JOVK DESIGN,Ready to Wear Lehenga,lehnga,Rs. 1349Rs. 2999(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/20/2RRTPbLa_69ec82a213294c7cb8766004c2c36fdb.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-thread-work-ready-to-wear-lehenga-/35068991/buy
VASTRAMAY,Girls Printed Lehenga Choli,lehnga,Rs. 1599Rs. 1999(20% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/4/laR24ag0_0e56237981044fab89b550e2927bb518.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/vastramay/vastramay-girls-cow--lotus-printed-ready-to-wear-lehenga--blouse-with-dupatta/35347402/buy
Sangria,Girls Printed Lehenga Choli,lehnga,Rs. 1149Rs. 3449(Rs. 2300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/3/7oHLjqAN_ade773ce95a14492aada357c14615e6b.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/sangria/sangria-girls-floral-printed-sequnnied-organza-ready-to-wear-lehenga--choli-/32614196/buy
BAESD,Girls Lehenga Blouse & Dupatta,lehnga,Rs. 441Rs. 2599(83% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/17/95VPbHZT_a1515924a21d4754b05ee7a00d457d05.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/baesd/baesd-girls-floral-printed-ready-to-wear-lehenga-with-blouse--dupatta/34180728/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/1UDz83rz_70e2ff4c8a7a4799ab9251a76b5f775c.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-ethnic-motifs-printed-ready-to-wear-cotton-lehenga--blouse-with-dupatta/30444499/buy
JOVK DESIGN,Ready to Wear Lehenga Blouse,lehnga,Rs. 974Rs. 2499(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/4/WE1RSjRV_7d3ca469eb084a7e919d5f25171a698b.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-printed-mirror-work-ready-to-wear-lehenga--blouse/32212987/buy
BAESD,Ready to Wear Lehenga,lehnga,Rs. 974Rs. 2499(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/1/7WDVxcoE_0c8bcae6e4584415a7abd93c421cb4e5.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/baesd/baesd-girls-embroidered-mukaish-ready-to-wear-lehenga-/32169037/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/qD3YwiyK_1ad6a9aee8124edb954102560997b921.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-ethnic-motifs-printed-ready-to-wear-cotton-lehenga--blouse-with-dupatta/30444490/buy
JOVK DESIGN,Girl Embroidered Lehenga Choli,lehnga,Rs. 974Rs. 2499(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/4/i3FCaAby_fae3da5cdbd24dfcbedc70f3bdb68bf9.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-ready-to-wear-lehenga--choli/31220691/buy
Sangria,Girls Lehenga Choli & Jacket,lehnga,Rs. 1549Rs. 3999(Rs. 2450 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/19/QWJDetOV_b2941573fd8b485ead797fe5f3df4f0b.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/sangria/sangria-girls-embroidered-lehenga-choli-with-jacket/35824553/buy
JUNITOS,Ready to Wear Lehenga Choli,lehnga,Rs. 1499Rs. 2499(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/2/BhqLNX5m_4361539c95604518bb20dbf75394ea2f.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-printed-sequinned-pure-cotton-ready-to-wear-lehenga--blouse-with-dupatta/30444500/buy
JOVK DESIGN,Ready to Wear Lehenga,lehnga,Rs. 899Rs. 2499(64% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/4/V8GdBKqt_a38ad8b4e7f94918b7330c2e3f6695d7.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-printed-ready-to-wear-lehenga-/31838183/buy
BAESD,Girls Lehenga & Choli,lehnga,Rs. 674Rs. 2499(73% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/20/4vxw1jHB_0ca603a3eda043b5ae0d77404f399244.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/baesd/baesd-girls-embellished-thread-work-ready-to-wear-lehenga--choli/32870237/buy
JUNITOS,"Girls Lehenga, Choli & Dupatta",lehnga,Rs. 1595Rs. 2279(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/21/AExxtfXj_1fd4211cb28b4ffd9d2d123567e71cb0.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/junitos/junitos-girls-printed-cotton-ready-to-wear-lehenga--blouse-with-dupatta/35849063/buy
JOVK DESIGN,Girl Embroidered Lehenga Choli,lehnga,Rs. 974Rs. 2499(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/4/U7ecSYS8_2fc89382dc0948d3b287255ed258721e.jpg",https://www.myntra.comhttps://www.myntra.com/lehenga-choli/jovk+design/jovk-design-girls-embroidered-ready-to-wear-lehenga--choli/31220842/buy
