brand,description,category,price,image_url,product_url
Pepe Jeans,Men Stretchable Jeans,men-jeans,Rs. 1699Rs. 2299(Rs. 600 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/9/FVmqb5fO_b02b56a6827a4714a5a3dd8b2a8e59cd.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/pepe+jeans/pepe-jeans-men-straight-fit-holborne-stretchable-jeans/31266822/buy
SPYKAR,Men Slim Fit Low-Rise Jeans,men-jeans,Rs. 1709Rs. 2999(43% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30095452/2024/7/2/10abe954-2415-4320-8f9d-849087ddd71b1719924791211SPYKARMenSlimFitLow-RiseMildlyDistressedStretchableJeans3.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/spykar/spykar-men-slim-fit-low-rise-clean-look-stretchable-cropped-jeans/30095452/buy
Roadster,Men Pure Cotton Jeans,men-jeans,Rs. 974Rs. 2499(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28749636/2025/4/19/49f549c4-84de-4dfd-a1cd-b04613c71b151745001139077-The-Roadster-Lifestyle-Co-Men-Beige-Pure-Cotton-Rigid-Baggy--1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/roadster/the-roadster-lifestyle-co-men-beige-pure-cotton-rigid-baggy-fit-denim-jeans/28749636/buy
HIGHLANDER,Men Relaxed Fit Mid-Rise Jeans,men-jeans,Rs. 769Rs. 2749(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/22/et7GrcnX_5fef5e9919964dbc8ac00f335370ef68.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/highlander/highlander-men-relaxed-fit-mid-rise-jeans/33725739/buy
Mufti,Men Slim Fit Jeans,men-jeans,Rs. 2049Rs. 4099(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/2/0x6aImJ8_b635da702caf4f89826f9a4c2aa3a3a2.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/mufti/mufti-men-slim-fit-mid-rise-heavy-fade-stretchable-jeans/33443703/buy
Urbano Fashion,Men Relaxed Fit Jeans,men-jeans,Rs. 944Rs. 2099(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27661968/2024/9/6/cccf07e0-4e26-4f33-a318-349dd5bc4ad61725606982693-Urbano-Fashion-Men-Loose-Fit-Washed-Non-Stretchable-Jeans-29-6.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/urbano+fashion/urbano-fashion-men-loose-fit-washed-non-stretchable-jeans/27661968/buy
Urbano Fashion,Men Slim Fit Jeans,men-jeans,Rs. 629Rs. 1399(55% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13823708/2022/10/19/398d64b2-096b-4a41-9ee9-95c005fc4db01666156159187-Urbano-Fashion-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Stretc-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/urbano+fashion/urbano-fashion-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/13823708/buy
Mufti,Men Tapered Fit Jeans,men-jeans,Rs. 1805Rs. 4299(58% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28427902/2025/4/11/e1620c48-bcb1-4283-af4b-2fca5ad68c9e1744371267633-Mufti-Men-Mid-Rise-Tapered-Fit-Light-Fade-Jeans-711174437126-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/mufti/mufti-men-mid-rise-tapered-fit-light-fade-jeans/28427902/buy
Bene Kleed,Relaxed Fit Denim Jeans,men-jeans,Rs. 873Rs. 2299(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21679346/2025/4/29/554ae1fb-0eed-429b-9e18-0562baa984e61745926696291-Bene-Kleed-Pure-Cotton-Mid-Rise-Relaxed-Fit-Denim-Jeans-3721-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/bene+kleed/bene-kleed-pure-cotton-mid-rise-relaxed-fit-denim-jeans/21679346/buy
Mast & Harbour,Men Cotton Regular Fit Jeans,men-jeans,Rs. 967Rs. 2199(56% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/15/KzY6l6ht_edf06a148d694c68bee9225197b5d95c.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/mast+%26+harbour/mast--harbour-men-cotton-regular-fit-jeans/32768625/buy
Tommy Hilfiger,Men Slim Fit Cotton Jeans,men-jeans,Rs. 3999Rs. 7999(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27202712/2024/1/25/f2d05692-e4a9-4711-a4d0-b7aa74454b861706203375678TommyHilfigerMenSlimFitLightFadeJeans1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/tommy+hilfiger/tommy-hilfiger-men-slim-fit-clean-look-light-fade-cotton-jeans/27202712/buy
Bene Kleed,Relaxed Fit Denim Jeans,men-jeans,Rs. 873Rs. 2299(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21679342/2025/4/29/dd40e8da-bb90-4fbd-9f49-971d525517c11745926671836-Bene-Kleed-Pure-Cotton-Mid-Rise-Relaxed-Fit-Denim-Jeans-3641-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/bene+kleed/bene-kleed-pure-cotton-mid-rise-relaxed-fit-denim-jeans/21679342/buy
HIGHLANDER,Men Relaxed Fit Cotton Jeans,men-jeans,Rs. 809Rs. 2399(Rs. 1590 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25395138/2024/1/8/9cbad9c1-73b1-4564-9f39-dbeab6d04f711704708636438-HIGHLANDER-Men-Relaxed-Fit-Clean-Look-Light-Fade-Cotton-Jean-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/highlander/highlander-men-loose-baggy-fit-clean-look-light-fade-cotton-jeans/25395138/buy
Mufti,Men Relaxed Fit Jeans,men-jeans,Rs. 1699Rs. 3399(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/3/ohTozRkv_f3412e09f5194210959e043cf35da99c.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/mufti/mufti-men-relaxed-fit-low-distress-light-fade-stretchable-jeans/33443760/buy
The Indian Garage Co,Men Pure Cotton Jeans,men-jeans,Rs. 887Rs. 2399(63% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32857771/2025/3/10/00356185-e963-4312-a893-ab05df32dc361741600702945-The-Indian-Garage-Co-Men-Dad-Fit-Solid-Jeans-565174160070232-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/the+indian+garage+co/the-indian-garage-co-men-dad-fit-heavy-fade-pure-cotton-jeans/32857771/buy
