brand,description,category,price,image_url,product_url
The Pant Project,Men Slim Fit Wrinkle-Resistant Formal Trousers,men-trousers,Rs. 1790Rs. 2990(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21811868/2025/4/3/afad679c-813c-474d-9a00-ab4524aa1a3b1743656603022-The-Pant-Project-Men-Slim-Fit-Mid-Rise-Wrinkle-Free-Soft-Str-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/the+pant+project/the-pant-project-men-ebony-black-solid-slim-fit-wrinkle-resistant-formal-trousers-with-stretchable-waistband/21811868/buy
Roadster,Relaxed-Fit Regular Trousers,men-trousers,Rs. 811Rs. 2799(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30063124/2024/6/28/63e3face-7ffe-4332-aa8e-ff9e419a96c81719562420675TheRoadsterLifestyleCoLinenRelaxed-FitRegularTrousers4.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/roadster/the-roadster-lifestyle-co-linen-relaxed-fit-regular-trousers/30063124/buy
Roadster,Relaxed-Fit Regular Trousers,men-trousers,Rs. 783Rs. 2799(72% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30063129/2024/6/28/dfdba33f-44c6-4dd3-b8f0-0966f8e7e1841719563300433TheRoadsterLifestyleCoLinenRelaxed-FitRegularTrousers1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/roadster/the-roadster-lifestyle-co-linen-relaxed-fit-regular-trousers/30063129/buy
Roadster,Relaxed-Fit Regular Trousers,men-trousers,Rs. 811Rs. 2799(71% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30063126/2024/6/28/7acc3d10-9dc7-44ee-9aea-a725d1499abb1719561316991TheRoadsterLifestyleCoLinenRelaxed-FitRegularTrousers1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/roadster/the-roadster-lifestyle-co-linen-relaxed-fit-regular-trousers/30063126/buy
The Pant Project,4-Way Stretch Knit Trousers,men-trousers,Rs. 1790Rs. 2990(Rs. 1200 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27574666/2025/5/2/e81aaf73-95ff-40d4-8e47-921089ca64031746162541041-The-Pant-Project-Men-Slim-Fit-Soft-Stretch-Comfort-Wrinkle-F-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/the+pant+project/the-pant-project-peanut-brown-slim-fit-wrinkle-free-power-stretch-knitted-trousers/27574666/buy
Banana Club,Men Slim Fit Pleated Trousers,men-trousers,Rs. 1249Rs. 2499(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/14/VDZ7NjyG_0ff707fe648f426f92646b8c1a7ca366.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/banana+club/banana-club-men-original-gurkha-trousers/30955058/buy
HIGHLANDER,Men Cotton Cargo Trousers,men-trousers,Rs. 797Rs. 2099(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25483126/2025/2/15/d57de14f-98b3-4a63-93f8-c98d245a082c1739619730170-HIGHLANDER-Men-Tapered-Fit-Mid-Rise-Cotton-Cargo-Trousers-74-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/highlander/highlander-men-tapered-fit-mid-rise-cotton-cargo-trousers/25483126/buy
Arrow,Men Tapered Fit Trousers,men-trousers,Rs. 1247Rs. 2399(48% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31538369/2024/12/24/86c32e7a-3e27-47ba-b0c8-0dcf34bcbb431735014944426-Arrow-Men-Trousers-5171735014943714-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/arrow/arrow-men-original-textured-tapered-fit-trousers/31538369/buy
Roadster,Men Relaxed Fit Trousers,men-trousers,Rs. 867Rs. 2799(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30063122/2024/6/28/544f7640-07e8-4fb0-b9fd-e865e400e32f1719575123653TheRoadsterLifestyleCoMenRelaxedFitLinenTrousers1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/roadster/the-roadster-lifestyle-co-men-relaxed-fit-linen-trousers/30063122/buy
FABRIPPLE,Men Loose Fit Cargos Trousers,men-trousers,Rs. 699Rs. 1999(Rs. 1300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/5/hmYsucQA_26ecfd6ae84846c2820ecdc0860b721f.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/fabripple/fabripple-men-cotton-classic-mid-rise-loose-fit-cargos-trousers/32660191/buy
Blackberrys,Men Slim Fit Trousers,men-trousers,Rs. 1583Rs. 2399(34% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32223935/2025/4/23/fa02de27-8b25-44de-8f55-5e33327fa00d1745403175421-Blackberrys-Men-Trousers-7361745403174821-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/blackberrys/blackberrys-men-textured-slim-fit-formal-trousers/32223935/buy
FABRIPPLE,Men Loose Fit Cargos Trousers,men-trousers,Rs. 699Rs. 1999(Rs. 1300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/6/Jl3LQyXM_c5989b6c7e5948f09858bba64962326a.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/fabripple/fabripple-men-classic-loose-fit-cargos-trousers/32660197/buy
HIGHLANDER,Men Mid-Rise Cotton Trousers,men-trousers,Rs. 755Rs. 2099(64% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25483026/2024/12/14/6b43a2ef-54b5-4a29-b483-509ddd6bd7051734169519490-HIGHLANDER-Men-Tapered-Fit-Cotton-Cargo-Trousers-64117341695-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/highlander/highlander-men-tapered-fit-cotton-cargo-trousers/25483026/buy
UNSTD,Men Plus Size Cargos Trousers,men-trousers,Rs. 2210Rs. 3299(33% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/13/v4M9opyN_51e08aed20b848819559d5dff4a6f1c5.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/unstd/unstd-men-plus-size-mid-rise-regular-fit-pure-cotton-strechable-cargos-trousers/34146990/buy
Roadster,Relaxed Fit Mid-Rise Trousers,men-trousers,Rs. 727Rs. 2799(74% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/6/cXN7PC3B_caebf54da5db4c2bbc3ea1865d45eb22.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/roadster/the-roadster-lifestyle-co-men-relaxed-fit-mid-rise-trousers/31541529/buy
Campus Sutra,Men Relaxed Cotton Trousers,men-trousers,Rs. 759Rs. 1999(62% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28282918/2024/3/15/ae32aaf4-b7cb-452d-b066-eb28a5c118841710485348248CampusSutraMenRelaxedEasyWashTrousers1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/campus+sutra/campus-sutra-men-beige-relaxed-cotton-easy-wash-trousers/28282918/buy
UNSTD,Men Plus Size Cargos,men-trousers,Rs. 2210Rs. 3299(33% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/13/gq1IQVwY_482f95c1c6b84e9196888489437d8537.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/unstd/unstd-men-plus-size-mid-rise-regular-fit-pure-cotton-strechable-cargos-trousers/34146987/buy
