brand,description,category,price,image_url,product_url
Allen Solly,Cotton Striped Slim T-shirt,men-tshirt,Rs. 1079Rs. 1799(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32245173/2025/4/4/81588a53-d19c-4b05-9ee5-8ee9725ac2481743759803709-Allen-Solly-Men-Tshirts-941743759803321-3.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/allen+solly/allen-solly-men-striped-pure-cotton-slim-fit-t-shirt/32245173/buy
Tommy Hilfiger,Men Solid Cotton Polo T-shirt,men-tshirt,Rs. 2339Rs. 3599(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/11/Ak1q9juj_ecc0a3ba93e547b0bb1205dcdaf77519.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/tommy+hilfiger/tommy-hilfiger-men-solid-polo-collar-cotton-t-shirt/33160351/buy
Marks & Spencer,Men Solid Polo T-shirt,men-tshirt,Rs. 3149Rs. 3499(10% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/23/DRzTmAxc_41ea794d07374529a6e309081c83ca48.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/marks+%26+spencer/marks--spencer-men-solid-polo-collar-t-shirt/33763194/buy
Campus Sutra,Men Self Design Cotton T-shirt,men-tshirt,Rs. 696Rs. 1699(59% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32193132/2025/1/3/8243634c-0c19-4a5a-890e-aa808dbe19e51735884731052CampusSutraMenStripedPoloCollarRawEdgeT-shirt1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-self-design-polo-collar-cotton-t-shirt/32193132/buy
Lacoste,Men Striped Polo Collar Applique T-shirt,men-tshirt,Rs. 5475Rs. 10950(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/4/3A68J2B6_60e56f2c0e574d9eae4e9e2ba726caae.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/lacoste/lacoste-men-striped-polo-collar-applique-t-shirt/33047867/buy
Puma,Men's Slim Fit Polo T-shirt,men-tshirt,Rs. 849Rs. 1699(50% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30850266/2025/6/17/42d0df0b-9a7f-4df8-80ab-c8bbf7e7ce6b1750156161073-Puma-Mens-Slim-Fit-Polo-T-shirt-3801750156160589-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/puma/puma-mens-slim-fit-polo-t-shirt/30850266/buy
Louis Philippe Sport,Polo Collar Slim Fit T-shirt,men-tshirt,Rs. 1007Rs. 1599(37% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25819856/2023/12/7/4c9896b0-fc39-4896-8962-05cf728471251701951897979-Louis-Philippe-Sport-Men-Tshirts-61701951897612-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/louis+philippe+sport/louis-philippe-sport-solid-polo-collar-slim-fit-t-shirt/25819856/buy
Andamen,Men Solid T-shirt,men-tshirt,Rs. 2990,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/17/RwEzB0f2_a6220c6aed5541de950f1a1ec61cc9d9.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/andamen/andamen-men-solid-polo-collar-cotton-t-shirt/30608651/buy
Campus Sutra,Men Solid Cotton Polo T-shirt,men-tshirt,Rs. 696Rs. 1699(59% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32193183/2025/1/3/20101921-9818-4aa6-be47-d4ea96af4ec51735885407991CampusSutraMenStripedPoloCollarPocketsT-shirt1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/campus+sutra/campus-sutra-men-solid-polo-collar-cotton-t-shirt/32193183/buy
Marks & Spencer,Men Striped V-Neck Pockets T-shirt,men-tshirt,Rs. 3149Rs. 3499(10% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/24/gokeqzSq_0ba936cfb0ee4e81a50eda9faeeea8bf.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/marks+%26+spencer/marks--spencer-men-striped-v-neck-pockets-t-shirt/33763197/buy
