brand,description,category,price,image_url,product_url
shree krishna fashion,Woven Design Kanjeevaram Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/QkeTGNjA_138b6e7c6d7c4eba903e33d3ad351b5d.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-woven-design-zari-kanjeevaram-saree/34316105/buy
shree krishna fashion,Woven Design Kanjeevaram Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/VQJybA8W_ac3c5fc1b57a4daba9643b460baf5ad8.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-ethnic-motifs-woven-design-zari-kanjeevaram-saree/34316099/buy
Anouk,Woven Design Patola Silk Blend Saree,sarees,Rs. 2899Rs. 15999(Rs. 13100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/15/uQhGPPW8_b2de7a7941534144901edac0c6aec946.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/anouk/anouk-woven-design-zari-silk-blend-patola-saree/31646223/buy
shree krishna fashion,Banarasi Art Silk Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/pMo36Y6d_bc30eea5692d487e836030c3efd8b966.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-woven-design-zari-banarasi-saree/34316082/buy
shree krishna fashion,Woven Design Kanjeevaram Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/YLPl2LQD_11c7307a6a04405280bb68e5f9fde64f.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-woven-design-zari-kanjeevaram-saree/34316061/buy
Garden Vareli,Floral Printed Saree,sarees,Rs. 1288Rs. 1982(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/qSoqhK2Y_2b91d0f54bcb4476857ed50f908560a1.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/garden+vareli/garden-vareli-floral-printed-saree/35427078/buy
shree krishna fashion,Woven Design Banarasi Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/DZY79KKM_fc90c8eddb2d444ca4df27d739518ce7.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-woven-design-zari-banarasi-saree/34315984/buy
shree krishna fashion,Striped Woven Banarasi Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/7cXoexL4_9fa43251810145c3ab7222952dd0b3d5.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-striped-woven-design-zari-banarasi-saree/34315894/buy
KALINI,Woven Design Banarasi Saree,sarees,Rs. 989Rs. 2999(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/NOVEMBER/29/vhM4fSZn_28f05f20ea5a403393b7e200ddf0bf38.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/kalini/kalini-woven-design-zari-banarasi-saree/31786885/buy
shree krishna fashion,Kanjeevaram Art Silk Saree,sarees,Rs. 699Rs. 4999(Rs. 4300 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/21/pRvjsUu4_57772136828e43728fa3d6a5219057c5.jpg",https://www.myntra.comhttps://www.myntra.com/sarees/shree+krishna+fashion/shree-krishna-fashion-woven-design-zari-art-silk-kanjeevaram-saree/34315991/buy
