brand,description,category,price,image_url,product_url
Claura,Women  Fit & Flare Midi Dress,women-dresses,Rs. 956Rs. 2899(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/21/6yluxQL3_d01b23632c1c409ba30c65d6ecb9ca15.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/claura/claura-women-floral-printed--fit--flare-midi-dress/31375705/buy
anayna,Women Fit & Flared Dresses,women-dresses,Rs. 998Rs. 3840(Rs. 2842 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/24/m49Z9zY8_fbc09ac679e748d9b5bc5f37770eaa94.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/anayna/anayna-women-checked-cotton-fit--flare-maxi-dresses/31067543/buy
Globus,Lace Sheath Dress,women-dresses,Rs. 1439Rs. 1999(28% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29220444/2024/4/26/a3e29782-6cb8-403e-903a-542b46cff7101714149476574GlobusLaceSheathDress1.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/globus/globus-stretchable-sweetheart-neck-puff-sleeves-lace-self-design-sheath-party-dress/29220444/buy
ZUMMER,Empire Puff Sleeve Dress,women-dresses,Rs. 1599Rs. 4699(Rs. 3100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/20/pH2YTqqh_90b907bc32b3409e874fbca0b02cf194.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/zummer/zummer-cotton-floral-embroidered-puff-sleeve-empire-dress/32860044/buy
Stylum,Floral Print Fit & Flare Maxi Dress,women-dresses,Rs. 739Rs. 2899(Rs. 2160 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/AUGUST/26/o3koKWHF_97d3912bdd2a4e2fa29356d5aaf6c21d.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/stylum/stylum-floral-print-fit--flare-maxi-dress/30722822/buy
Uptownie,Pleated Floral Midi Dress,women-dresses,Rs. 1592Rs. 2699(41% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/9/XyQzvMX4_1bd3dde805bb44fdb4b328778d841371.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/uptownie/uptownie-women-front-pleated-floral-midi-dress/36311507/buy
Claura,Mandarin Collar A-Line Dress,women-dresses,Rs. 956Rs. 2899(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/24/FnCr5ye3_6e278e8c33174657b8cb55b6fadd0ccc.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/claura/claura-women-abstract-printed-mandarin-collar-a-line-dress/31080404/buy
HOUSE OF MIRA,Floral Printed Empire Dress,women-dresses,Rs. 773Rs. 2577(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/30/NQ5yOgZM_de48a3966c0e42b09506227842ae2d54.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/house+of+mira/house-of-mira-women-floral-printed-cotton-empire-midi-dress/32577056/buy
Aanyor,Maternity Fit & Flare Dress,women-dresses,Rs. 984Rs. 2460(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/AUGUST/13/oSdUmGKq_eaa6a1b3bfac47dc9b21587ead7a8fbd.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/aanyor/aanyor-women-floral-printed-maternity-cotton-fit--flare-midi-dress/36380784/buy
CHIC BY TOKYO TALKIES,Solid Shirt Dress,women-dresses,Rs. 604Rs. 1549(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17003576/2023/4/12/16710469-d18f-4067-bca0-d5cb9a3a53c11681291057075-Tokyo-Talkies-Women-Stylish-Black-Shirt-Dress-99516812910567-2.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/chic+by+tokyo+talkies/chic-by-tokyo-talkies-women-stylish-black-shirt-dress/17003576/buy
Aaghnya,Viscose Rayon Dresses,women-dresses,Rs. 799Rs. 3197(75% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/35049656/2025/7/1/4ab70eee-9683-4dbc-86db-60cc81c916011751388173557-Aaghnya-Purple-Viscose-Rayon-Dresses-9681751388172911-1.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/aaghnya/aaghnya-purple-viscose-rayon-dresses/35049656/buy
DIMPLE DESIGN STUDIO,Women Checks Shirt Dress,women-dresses,Rs. 3079Rs. 3499(12% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MARCH/12/GwlPHq4u_d446c23d913348fb97d8488470504909.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/dimple+design+studio/dimple-design-studio-women-red-checks-cotton-shirt-dress/33181041/buy
OCTICS,Floral Fit & Flare Dress,women-dresses,Rs. 945Rs. 4299(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28688510/2024/12/27/bb058407-d64c-43dd-a8ae-ac6cba92c7641735308885503-OCTICS-Floral-Printed-Fit--Flare-Dress-1081735308884799-1.jpg",https://www.myntra.comhttps://www.myntra.com/dresses/octics/octics-floral-printed-fit--flare-dress/28688510/buy
