brand,description,category,price,image_url,product_url
Kotty,Women Straight Fit High-Rise Jeans,women-jeans,Rs. 524Rs. 2499(79% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/9/BODGXToQ_d80eb7c251a141d3982bbf38a94f3a6d.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/kotty/kotty-women-jean-straight-fit-high-rise-stretchable-jeans/31255351/buy
Stylecast X Kotty,Women Regular Fit Jeans,women-jeans,Rs. 549Rs. 2499(78% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/28/hIzAuUFM_58b1726c31f1493e9a6539f70bc23385.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/stylecast+x+kotty/stylecast-x-kotty-women-regular-fit-high-rise-jeans/34529796/buy
Calvin Klein Jeans,Women Relaxed Fit Jeans,women-jeans,Rs. 7199Rs. 11999(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/MAY/9/fQSwmJWi_01f968d3de804c46ab9229f2906c333d.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/calvin+klein+jeans/calvin-klein-jeans-women-relaxed-fit-light-fade-stretchable-jeans/34047684/buy
Aadvi Fashion,Women Baggy Jeans,women-jeans,Rs. 698Rs. 2899(Rs. 2201 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/8/88868JLu_0d6fbba9f79a4014bc265f427203bca9.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-jean-baggy-high-rise-stretchable-jeans/32687924/buy
Aadvi Fashion,Women High-Rise Wide Leg Jeans,women-jeans,Rs. 698Rs. 2999(Rs. 2301 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/24/6Em81D3D_0eab9fe2f2b848a2aae531660fc7f420.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-original-high-rise-stretchable-wide-leg-jeans/32481893/buy
Calvin Klein Jeans,Women Slim Fit Jeans,women-jeans,Rs. 4799Rs. 7999(40% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/32306357/2025/1/11/98a21c73-e56c-40d1-bbf7-252d11b9142e1736596856499CalvinKleinJeansWomenSlimFitJeans1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/calvin+klein+jeans/calvin-klein-jeans-women-slim-fit-jeans/32306357/buy
Kotty,Women High-Rise Jeans,women-jeans,Rs. 779Rs. 2999(74% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/16/YiXbsL84_21f6feb7743f46a4aacc59a338c2556f.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/kotty/kotty-women-high-rise-stretchable-jeans/30980154/buy
SASSAFRAS,Women Wide Leg  Jeans,women-jeans,Rs. 769Rs. 2199(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22408152/2023/3/24/5d328149-7f47-4b79-b499-5c9bd5de316a1679650604697SASSAFRASWomenBlackStraightFitLowDistressStretchableJeans1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/sassafras/sassafras-women-wide-leg-stretchable-jeans/22408152/buy
FASHIONFIBRE,Women Wide Leg High-Rise Jeans,women-jeans,Rs. 1589Rs. 2999(Rs. 1410 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/31982325/2024/12/24/b94064fc-2168-4e55-afa8-fa17e1cbf9041735049290552-FASHIONFIBRE-Women-Cotton-Comfort-Wide-Leg-High-Rise-Light-F-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/fashionfibre/fashionfibre-women-cotton-comfort-wide-leg-high-rise-light-fade-jeans/31982325/buy
Aadvi Fashion,Women High-Rise Jeans,women-jeans,Rs. 729Rs. 2999(Rs. 2270 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/7/tEHkdQH5_6ac2c849ce5e46e0b4400b0374edf3c3.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/aadvi+fashion/aadvi-fashion-women-comfort-high-rise-acid-wash-stretchable-jeans/35476707/buy
Roadster,Women Wide Leg High-Rise Jeans,women-jeans,Rs. 879Rs. 2199(60% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25750012/2024/1/5/d6cd42ac-37d4-429e-8f5e-049c98e87c9a1704456281818-Roadster-Women-Jeans-8721704456281394-1.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/roadster/the-roadster-life-co-women-wide-leg-high-rise-light-fade-stretchable-jeans/25750012/buy
DOLCE CRUDO,Women Wide Leg  Jeans,women-jeans,Rs. 1160Rs. 2149(46% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27940964/2024/2/29/1ad2d63b-7f81-4fcd-97b1-5e4d03e5db4a1709185003563DOLCECRUDOWomenWideLegLowDistressLightFadeStretchableJeans2.jpg",https://www.myntra.comhttps://www.myntra.com/jeans/dolce+crudo/dolce-crudo-women-light-weight-blue-wide-leg-light-fade-stretchable-jeans/27940964/buy
