brand,description,category,price,image_url,product_url
Roadster,Oversized Casual Shirt,women-shirt,Rs. 659Rs. 1799(Rs. 1140 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30256916/2024/9/18/25a3199a-83d7-460f-bde7-5c159e6eb4c81726637433682-Womens-Oversize-Long-Sleeve-Seersucker-Stripe-Shirt-23017266-1.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/roadster/roadster-striped-oversized-casual-shirt/30256916/buy
DL Woman,Oversized Casual Shirt,women-shirt,Rs. 923Rs. 2799(67% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26171658/2025/4/9/ec069d5d-37ab-45c2-9458-0ea9bd38fef61744210336705-DL-Woman-Oversized-Crepe-Casual-Shirt-2891744210336231-1.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/dl+woman/dl-woman-oversized-crepe-casual-shirt/26171658/buy
H&M,Oversized Cotton Poplin Shirt,women-shirt,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/16/TLJfahlc_74ef5690af974db0b69ab6f2fe8eacad.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/h%26m/hm-oversized-cotton-poplin-shirt/35714588/buy
Style Quotient,Women Formal Shirt,women-shirt,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19761198/2022/9/2/e05a447d-e6c7-4a5a-91ce-7b7972646f491662107951495StyleQuotientWomenWhiteClassicFormalShirt1.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/style+quotient/style-quotient-women-white-formal-shirt/19761198/buy
Roadster,Women Striped Casual Shirt,women-shirt,Rs. 650Rs. 2099(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/17/4j0E1s3p_55f7c70b17db41bd9884527778e6cd33.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-cuban-collar-vertical-striped-cotton-boxy-casual-shirt/31012271/buy
H&M,V-Neck Blouse,women-shirt,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/24/jYWMc8vY_fbe988197a6e43a0b731ea3f6745cf87.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/h%26m/hm-v-neck-blouse/35141135/buy
H&M,Oversized Linen-Blend Shirt,women-shirt,Rs. 1329Rs. 1899(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/21/xiFt9kk7_3711901f5c02444498faf4a7b7919d11.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/h%26m/hm-oversized-linen-blend-shirt/32876420/buy
Roadster,Women Self Design Casual Shirt,women-shirt,Rs. 650Rs. 2099(69% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/DECEMBER/3/nkS7B1gV_a5f44d5f250a4cb08fbc61385dd76dc9.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-women-spread-collar-textured-casual-shirt/31820702/buy
H&M,Oversized Cotton Poplin Shirt,women-shirt,Rs. 1499,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/16/fMgpoXi9_62e2f3be4d49461c89a87a00f4659eb4.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/h%26m/hm-oversized-cotton-poplin-shirt/35714578/buy
Style Quotient,Women Cotton Formal Shirt,women-shirt,Rs. 1199,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/2/J7SHy4lq_bec62b20cbc74ce998e8e59194069246.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/style+quotient/style-quotient-women-smart-mandarin-collar-solid-cotton-formal-shirt/32179900/buy
Roadster,Oversized Casual Shirt,women-shirt,Rs. 524Rs. 1499(65% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30257319/2024/10/7/a7219db4-330b-49aa-baa6-69e5f2d0c5961728301989658-Womens-Oversize-Long-Sleeve-Johny-Collar-Pue-Cotton-Shirt-57-1.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/roadster/roadster-women-oversized-casual-shirt/30257319/buy
MANGO,Linen Casual Shirt,women-shirt,Rs. 3353Rs. 4790(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/25/Fbvi6gUg_3bb7a24097794c0f8d0cb9e16dd6294b.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/mango/mango-women-pure-linen-casual-shirt/32798208/buy
VOLTEDGE,Oversized Cotton Casual Shirt,women-shirt,Rs. 1299Rs. 1999(35% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/21/wcufGgIe_8d9da93e8fb3443cb4f370b777fdf47a.jpg",https://www.myntra.comhttps://www.myntra.com/shirts/voltedge/voltedge-women-oversized-opaque-striped-shirt/32894799/buy
