brand,description,category,price,image_url,product_url
Marks & Spencer,Flared High-Rise Trousers,women-trousers,Rs. 1799Rs. 1999(10% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/JULY/23/f87xULec_b052bcc6d4194d82979b56154ac0b92a.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/marks+%26+spencer/marks--spencer-women-flared-high-rise-trousers/30300693/buy
KOTTY BIZwear,Pack Of 2 Women Trousers,women-trousers,Rs. 479Rs. 3999(88% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22516492/2023/3/27/8c7fc718-8112-43e5-8f86-b790cbe596d61679890232455KottyWomenMulticolouredRelaxedStraightFitHigh-RiseEasyWashPl1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/kotty+bizwear/kotty-bizwear-pack-of-2-women-relaxed-straight-fit-high-rise-pleated-trousers/22516492/buy
FableStreet,Women Loose Fit Formal Trouser,women-trousers,Rs. 2922Rs. 3795(23% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/12/yliWw23l_a7c0e5069bcb42b7a5ec81558fcf25b4.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/fablestreet/fablestreet-women-custom-loose-fit-mid-rise-wide-leg-formal-linen-trouser/33580452/buy
Selvia,Women Pleated Trousers,women-trousers,Rs. 395Rs. 1098(64% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/33388554/2025/4/18/53d8ebf6-b455-48e7-9a61-e56a06e791661744986721481-Selvia-Women-Mid-Rise-Easy-Wash-Pleated-Trousers-15717449867-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/selvia/selvia-women-mid-rise-easy-wash-pleated-trousers/33388554/buy
Marks & Spencer,Women High-Rise Trousers,women-trousers,Rs. 2699Rs. 2999(10% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24790680/2023/9/4/a29d515b-a22c-45ec-ac95-c8099ac942a31693804806390MarksSpencerWomenBeigeHigh-RiseTrousers1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/marks+%26+spencer/marks--spencer-women-pintuck-high-rise-regular-trousers/24790680/buy
MANGO,Women Pleated Trousers,women-trousers,Rs. 4632Rs. 5790(20% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/34379199/2025/6/6/8da97f34-de6d-4128-8784-84eb5841d58f1749189276521-MANGO-Women-Trousers-6101749189275861-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/mango/mango-women-pleated-balloon-fit-trousers/34379199/buy
SASSAFRAS worklyf,Women Formal Parallel Trousers,women-trousers,Rs. 740Rs. 1899(61% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25773276/2023/11/6/092c4232-456a-4521-aff5-9a77ee8d12281699245114760SASSAFRASworklyfWomenBlackHigh-RiseTrousers1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/sassafras+worklyf/sassafras-worklyf-women-formal-parallel-trousers/25773276/buy
H&M,Denim Drawstring Trousers,women-trousers,Rs. 1329Rs. 1899(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/27/YOU7FdxH_558d24e49cfe45459d9ff8c846622b55.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/h%26m/hm-denim-drawstring-trousers/32494760/buy
Bewakoof,Women Parallel Trousers,women-trousers,Rs. 849Rs. 1949(Rs. 1100 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23822466/2025/5/16/7a2b773d-d570-44d8-b6ba-9b087e9f370c1747403210513-Bewakoof-Women-Brown-Trackpants-4181747403209924-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/bewakoof/bewakoof-women-brown-trackpants/23822466/buy
KOTTY BIZwear,Women Straight Fit High-Rise Trousers,women-trousers,Rs. 359Rs. 1999(82% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19460432/2023/6/1/42b24181-12d0-43a6-b326-1cc75b89cd7c1685623336196-Kotty-Women-Black-Relaxed-Straight-Fit-High-Rise-Easy-Wash-T-1.jpg",https://www.myntra.comhttps://www.myntra.com/trousers/kotty+bizwear/kotty-bizwear-women-black-relaxed-straight-fit-high-rise-easy-wash-trousers/19460432/buy
