brand,description,category,price,image_url,product_url
CORSICA,Women Striped Cotton T-shirt,women-tshirt,Rs. 319Rs. 999(68% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/31/GHwtLC6b_d5ea4320283f4723ac6aa5eef60e9f8e.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/corsica/corsica-women-bio-finish-striped-round-neck-cotton-relaxed-fit-t-shirt/32573503/buy
Fabflee,Cotton Oversized T-shirt,women-tshirt,Rs. 287Rs. 1599(Rs. 1312 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25992760/2025/2/3/49e71d97-f220-4996-b0ac-daac8e2162131738589830233-Fabflee-Graphic-Printed-Cotton-Oversized-T-shirt-48017385898-1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/fabflee/fabflee-women-graphic-printed-drop-shoulder-sleeves-cotton-oversized-t-shirt/25992760/buy
Silvertraq,Moisture Wicking Gym T-shirt,women-tshirt,Rs. 1179Rs. 1999(41% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27210030/2024/1/29/edc8c9c5-336b-434d-9aa5-d50adcaa0aa21706510718763SilvertraqWomenV-NeckMoistureWickingPocketsT-shirt1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/silvertraq/silvertraq-round-neck-moisture-wicking-gym-t-shirt/27210030/buy
DILLINGER,Pure Cotton T-shirt,women-tshirt,Rs. 419Rs. 1399(70% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27873896/2024/3/5/3038cf62-62c1-46d4-b084-c8f6404b6f0c1709629322540DILLINGERGraphicPrintedOversizedPureCottonT-shirt1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/dillinger/dillinger-graphic-printed-oversized-pure-cotton-t-shirt/27873896/buy
SZN,Women Black Tshirts,women-tshirt,Rs. 255Rs. 899(Rs. 644 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JULY/10/Mdoj0EoI_72a1b2c9d05043368a4d4904f6db9a2e.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/szn/szn-women-black-tshirts/35581359/buy
Silvertraq,Moisture Wicking Gym T-shirt,women-tshirt,Rs. 1439Rs. 1999(28% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27210010/2024/1/29/df7bd194-eaf1-4622-8dbf-b1ec689f5e821706510897279SilvertraqWomenHighNeckMoistureWickingAppliqueT-shirt1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/silvertraq/silvertraq-high-neck-moisture-wicking-gym-t-shirt/27210010/buy
SZN,Women Printed Applique T-shirt,women-tshirt,Rs. 232Rs. 999(Rs. 767 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/APRIL/26/dD8nBzew_028ac72a50124a6cb92b6fcfe3093693.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/szn/szn-women-printed-applique-t-shirt/33814922/buy
COLOR CAPITAL,V-Neck Casual T-Shirt,women-tshirt,Rs. 440Rs. 799(Rs. 359 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28011208/2024/3/4/53fd7b41-d784-413f-9fe1-4a602aeb1fcf1709528359332COLORCAPITALTop1.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/color+capital/color-capital-v-neck-casual-t-shirt/28011208/buy
Silvertraq,Anti Odour Cut Outs T-shirt,women-tshirt,Rs. 1179Rs. 1999(41% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JUNE/1/JxJGUx1a_38caa369cf394db48f9824c6bcb9deef.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/silvertraq/silvertraq-boyfriend-traqdry-anti-odour-cut-outs-oversized-t-shirt/34647061/buy
SZN,Graphic Printed T-shirt,women-tshirt,Rs. 232Rs. 999(Rs. 767 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/FEBRUARY/22/XF0Di0GA_f1a8feb373134208a9f4ad85be2e70f4.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/szn/szn-graphic-printed-t-shirt/32915250/buy
H&M,Cropped Printed T-shirt,women-tshirt,Rs. 349Rs. 499(30% OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2025/JANUARY/27/kjlRFFCp_923930b513f3461cafb821693b3970c6.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/h%26m/hm-cropped-printed-t-shirt/32494442/buy
Bewakoof,Cotton Oversized T-shirt,women-tshirt,Rs. 549Rs. 1499(Rs. 950 OFF),"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22021366/2024/3/22/8de169c9-6c25-497b-b4fa-73938753c6311711085525836-Bewakoof-Believe-Cat-Graphic-Printed-Oversized-T-shirt-29417-7.jpg",https://www.myntra.comhttps://www.myntra.com/tshirts/bewakoof/bewakoof-believe-cat-graphic-printed-oversized-t-shirt/22021366/buy
